id,cntry,country,sex,agea,yrbrn,mars_status,region_cat,education_level,main_activity,occupation,feel_income,born_in_cntry,citizen,minority_ethnic,left_right,church,hhmmb,locality,voted,backstory,dweight,pspwght,pweight,anweight,stratum,psu,response
24188,GB,United Kingdom,Female,65.0,1953.0,,UKC,"Masters Degree, M.Phil, Post-Graduate Diplomas and Certificates",Retired,Manager,Living comfortably on present income,Yes,Yes,No,5.0,Once a week,2.0,Suburbs or outskirts of big city,Yes,"I am a female. I am 65 years old and I was born in 1953. I am single. I am from North East (England). I was born in this country. I am a citizen of this country. I do not belong to an ethnic minority group. My highest educational qualification is Masters Degree, M.Phil, Post-Graduate Diplomas and Certificates. I finished my full-time education at age 21. In the last week I have mainly been retired. My occupation is Education managers. I was previously a member of a trade union but am not now. My household income is in the 7th decile nationally. I would say that we are living comfortably on present income. I would describe my general health as very good. On a scale from 0 (extremely unhappy) to 10 (extremely happy), my happiness is 8. On a scale from 0 to 10, my life satisfaction is 8. I meet socially with friends, relatives or colleagues several times a week. On a scale from 0 to 10, I believe most people can be trusted: 6. On a scale from 0 to 10, I believe most people try to be fair: 5. On a scale from 0 to 10, I believe most people try to be helpful: 7. I consider myself as belonging to a particular religion. On a scale from 0 to 10, I would rate my religiousness as 7. I am quite interested in politics. On a left (0) to right (10) political scale, I would place myself at 5. I voted in the last general election. On a scale from 0 to 10, my trust in parliament is 7. On a scale from 0 to 10, my trust in politicians is 6. I have not felt discriminated against in the last 12 months.",1.0187729597091677,0.8470374941825867,2.4683315753936768,2.0907692909240723,1410,12365,A
18106,GB,United Kingdom,Male,34.0,1984.0,,UKI,"Ph.D, D.Phil or equivalent",Paid work,Professional,Living comfortably on present income,Yes,Yes,No,3.0,Only on special holy days,2.0,A big city,Yes,"I am a male. I am 34 years old and I was born in 1984. I am single. I am from London. I was born in this country. I am a citizen of this country. I do not belong to an ethnic minority group. My highest educational qualification is Ph.D, D.Phil or equivalent. I finished my full-time education at age 27. In the last week I have mainly been paid work. My occupation is Biologists, botanists, zoologists and related professionals. I have never been a member of a trade union. My household income is in the 8th decile nationally. I would say that we are living comfortably on present income. I would describe my general health as very good. On a scale from 0 (extremely unhappy) to 10 (extremely happy), my happiness is 8. On a scale from 0 to 10, my life satisfaction is 8. I meet socially with friends, relatives or colleagues several times a week. On a scale from 0 to 10, I believe most people can be trusted: 7. On a scale from 0 to 10, I believe most people try to be fair: 7. On a scale from 0 to 10, I believe most people try to be helpful: 6. I do not consider myself as belonging to any particular religion. On a scale from 0 to 10, I would rate my religiousness as 3. I am very interested in politics. On a left (0) to right (10) political scale, I would place myself at 3. I voted in the last general election. I voted for Labour. On a scale from 0 to 10, my trust in parliament is 6. On a scale from 0 to 10, my trust in politicians is 6. I have not felt discriminated against in the last 12 months.",1.0187729597091677,1.648835301399231,2.4683315753936768,4.0698723793029785,1479,12118,A
54634,GB,United Kingdom,Female,61.0,1957.0,Legally divorced / Civil partnership dissolved,UKM,"3-4 year University/CNAA first Degree (BA, BSc., BEd., BEng. etc)",Paid work,Technician or associate professional,Difficult on present income,Yes,Yes,No,8.0,At least once a month,1.0,Country village,Yes,"I am a female. I am 61 years old and I was born in 1957. I am Legally divorced / Civil partnership dissolved. I am from Scotland. I was born in this country. I am a citizen of this country. I do not belong to an ethnic minority group. My highest educational qualification is 3-4 year University/CNAA first Degree (BA, BSc., BEd., BEng. etc). I finished my full-time education at age 15. In the last week I have mainly been paid work. My occupation is Valuers and loss assessors. I was previously a member of a trade union but am not now. My household income is in the 3rd decile nationally. I would say that we are difficult on present income. I would describe my general health as very good. On a scale from 0 (extremely unhappy) to 10 (extremely happy), my happiness is 5. On a scale from 0 to 10, my life satisfaction is 5. I meet socially with friends, relatives or colleagues several times a month. On a scale from 0 to 10, I believe most people can be trusted: 6. On a scale from 0 to 10, I believe most people try to be fair: 4. On a scale from 0 to 10, I believe most people try to be helpful: 4. I consider myself as belonging to a particular religion. On a scale from 0 to 10, I would rate my religiousness as 8. I am quite interested in politics. On a left (0) to right (10) political scale, I would place myself at 8. I voted in the last general election. I voted for Conservative. On a scale from 0 to 10, my trust in parliament is 4. On a scale from 0 to 10, my trust in politicians is 2. I have not felt discriminated against in the last 12 months.",0.5093864798545837,0.5172666311264038,2.4683315753936768,1.2767856121063232,1550,12144,A
41242,GB,United Kingdom,Female,45.0,1973.0,Widowed / Civil partner died,UKI,"5 year University/CNAA first Degree (MB, BDS, BV etc)",Paid work,Professional,Difficult on present income,No,No,No,5.0,Once a week,2.0,A big city,Not eligible to vote,"I am a female. I am 45 years old and I was born in 1973. I am Widowed / Civil partner died. I am from London. I was not born in this country. I am not a citizen of this country. I do not belong to an ethnic minority group. My highest educational qualification is 5 year University/CNAA first Degree (MB, BDS, BV etc). I finished my full-time education at age 22. In the last week I have mainly been paid work. My occupation is Accountants. I have never been a member of a trade union. My household income is in the 5th decile nationally. I would say that we are difficult on present income. I would describe my general health as fair. On a scale from 0 (extremely unhappy) to 10 (extremely happy), my happiness is 6. On a scale from 0 to 10, my life satisfaction is 6. I meet socially with friends, relatives or colleagues once a week. On a scale from 0 to 10, I believe most people can be trusted: 3. On a scale from 0 to 10, I believe most people try to be fair: 5. On a scale from 0 to 10, I believe most people try to be helpful: 6. I consider myself as belonging to a particular religion. On a scale from 0 to 10, I would rate my religiousness as 10. I am very interested in politics. On a left (0) to right (10) political scale, I would place myself at 5. I was not eligible to vote in the last general election. On a scale from 0 to 10, my trust in parliament is 7. On a scale from 0 to 10, my trust in politicians is 6. I have not felt discriminated against in the last 12 months.",0.5093864798545837,0.4656949043273926,2.4683315753936768,1.149489402770996,1490,12237,B.
48612,GB,United Kingdom,Male,27.0,1991.0,None of these (NEVER married or in legally registered civil partnership),UKJ,"Vocational A-level (AVCE), GCE Applied A level, NVQ/SVQ Level 3, GNVQ/GSVQ Advanced, Edexcel/BTEC/BEC/TEC",Paid work,Service and sales worker,Coping on present income,Yes,Yes,No,5.0,Never,2.0,Country village,Yes,"I am a male. I am 27 years old and I was born in 1991. I am never married or in a civil partnership. I am from South East (England). I was born in this country. I am a citizen of this country. I do not belong to an ethnic minority group. My highest educational qualification is Vocational A-level (AVCE), GCE Applied A level, NVQ/SVQ Level 3, GNVQ/GSVQ Advanced, Edexcel/BTEC/BEC/TEC. I finished my full-time education at age 19. In the last week I have mainly been paid work. My occupation is Driving instructors. I have never been a member of a trade union. My household income is in the 4th decile nationally. I would say that we are coping on present income. I would describe my general health as very good. On a scale from 0 (extremely unhappy) to 10 (extremely happy), my happiness is 9. On a scale from 0 to 10, my life satisfaction is 9. I meet socially with friends, relatives or colleagues several times a month. On a scale from 0 to 10, I believe most people can be trusted: 3. On a scale from 0 to 10, I believe most people try to be fair: 4. On a scale from 0 to 10, I believe most people try to be helpful: 4. I do not consider myself as belonging to any particular religion. On a scale from 0 to 10, I would rate my religiousness as 4. I am hardly interested in politics. On a left (0) to right (10) political scale, I would place myself at 5. I voted in the last general election. I voted for Conservative. On a scale from 0 to 10, my trust in parliament is 2. On a scale from 0 to 10, my trust in politicians is 2. I have not felt discriminated against in the last 12 months.",1.0187729597091677,1.339930295944214,2.4683315753936768,3.3073923587799072,1519,12241,B
10461,GB,United Kingdom,Female,49.0,1969.0,None of these (NEVER married or in legally registered civil partnership),UKE,"(Modern) Apprenticeship, Advanced (Modern) Apprenticeship, SVQ/NVQ/Key Skills Level 1 and 2, City and Guilds Craft/Inter",Paid work,Technician or associate professional,Living comfortably on present income,Yes,Yes,No,,Never,1.0,Country village,Yes,"I am a female. I am 49 years old and I was born in 1969. I am never married or in a civil partnership. I am from Yorkshire and the Humber. I was born in this country. I am a citizen of this country. I do not belong to an ethnic minority group. My highest educational qualification is (Modern) Apprenticeship, Advanced (Modern) Apprenticeship, SVQ/NVQ/Key Skills Level 1 and 2, City and Guilds Craft/Inter. I finished my full-time education at age 19. In the last week I have mainly been paid work. My occupation is Statistical, mathematical and related associate professionals. I have never been a member of a trade union. My household income is in the 7th decile nationally. I would say that we are living comfortably on present income. I would describe my general health as very good. On a scale from 0 (extremely unhappy) to 10 (extremely happy), my happiness is 10. On a scale from 0 to 10, my life satisfaction is 10. I meet socially with friends, relatives or colleagues several times a week. On a scale from 0 to 10, I believe most people can be trusted: 5. On a scale from 0 to 10, I believe most people try to be fair: 5. On a scale from 0 to 10, I believe most people try to be helpful: 8. I do not consider myself as belonging to any particular religion. On a scale from 0 to 10, I would rate my religiousness as 0. I am not at all interested in politics. I voted in the last general election. I voted for Liberal Democrat. On a scale from 0 to 10, my trust in parliament is 2. On a scale from 0 to 10, my trust in politicians is 0. I have not felt discriminated against in the last 12 months.",0.5093864798545837,0.3759341835975647,2.4683315753936768,0.927930235862732,1578,12357,B
39224,GB,United Kingdom,Male,54.0,1964.0,Legally separated,UKH,None of these,Paid work,Professional,Living comfortably on present income,Yes,Yes,No,7.0,At least once a month,1.0,Town or small city,Yes,"I am a male. I am 54 years old and I was born in 1964. I am legally separated. I am from East of England. I was born in this country. I am a citizen of this country. I do not belong to an ethnic minority group. My highest educational qualification is None of these. I finished my full-time education at age 18. In the last week I have mainly been paid work. My occupation is Software and applications developers and analysts not elsewhere classified. I have never been a member of a trade union. My household income is in the 7th decile nationally. I would say that we are living comfortably on present income. I would describe my general health as very good. On a scale from 0 (extremely unhappy) to 10 (extremely happy), my happiness is 10. On a scale from 0 to 10, my life satisfaction is 10. I meet socially with friends, relatives or colleagues several times a week. On a scale from 0 to 10, I believe most people can be trusted: 5. On a scale from 0 to 10, I believe most people try to be fair: 7. On a scale from 0 to 10, I believe most people try to be helpful: 7. I consider myself as belonging to a particular religion. On a scale from 0 to 10, I would rate my religiousness as 3. I am hardly interested in politics. On a left (0) to right (10) political scale, I would place myself at 7. I voted in the last general election. I voted for Conservative. On a scale from 0 to 10, my trust in parliament is 8. On a scale from 0 to 10, my trust in politicians is 5. I have not felt discriminated against in the last 12 months.",0.5093864798545837,0.5019990801811218,2.4683315753936768,1.239100217819214,1449,12141,B
14531,GB,United Kingdom,Male,26.0,1992.0,None of these (NEVER married or in legally registered civil partnership),UKG,"3-4 year University/CNAA first Degree (BA, BSc., BEd., BEng. etc)",Paid work,Professional,Living comfortably on present income,Yes,Yes,No,4.0,Never,4.0,Town or small city,Yes,"I am a male. I am 26 years old and I was born in 1992. I am never married or in a civil partnership. I am from West Midlands (England). I was born in this country. I am a citizen of this country. I do not belong to an ethnic minority group. My highest educational qualification is 3-4 year University/CNAA first Degree (BA, BSc., BEd., BEng. etc). I finished my full-time education at age 20. In the last week I have mainly been paid work. My occupation is Software and applications developers and analysts not elsewhere classified. I have never been a member of a trade union. My household income is in the 8th decile nationally. I would say that we are living comfortably on present income. I would describe my general health as good. On a scale from 0 (extremely unhappy) to 10 (extremely happy), my happiness is 9. On a scale from 0 to 10, my life satisfaction is 9. I meet socially with friends, relatives or colleagues once a month. On a scale from 0 to 10, I believe most people can be trusted: 8. On a scale from 0 to 10, I believe most people try to be fair: 8. On a scale from 0 to 10, I believe most people try to be helpful: 7. I do not consider myself as belonging to any particular religion. On a scale from 0 to 10, I would rate my religiousness as 0. I am quite interested in politics. On a left (0) to right (10) political scale, I would place myself at 4. I voted in the last general election. I voted for Labour. On a scale from 0 to 10, my trust in parliament is 5. On a scale from 0 to 10, my trust in politicians is 2. I have not felt discriminated against in the last 12 months.",1.0187729597091677,2.135612726211548,2.4683315753936768,5.271400451660156,1426,12406,B
19287,GB,United Kingdom,Male,67.0,1951.0,,UKK,None of these,Retired,Service and sales worker,Living comfortably on present income,Yes,Yes,No,5.0,Less often,2.0,Town or small city,Yes,"I am a male. I am 67 years old and I was born in 1951. I am single. I am from South West (England). I was born in this country. I am a citizen of this country. I do not belong to an ethnic minority group. My highest educational qualification is None of these. I finished my full-time education at age 16. In the last week I have mainly been retired. My occupation is Personal service workers. I was previously a member of a trade union but am not now. My household income is in the 5th decile nationally. I would say that we are living comfortably on present income. I would describe my general health as fair. On a scale from 0 (extremely unhappy) to 10 (extremely happy), my happiness is 8. On a scale from 0 to 10, my life satisfaction is 8. I meet socially with friends, relatives or colleagues several times a week. On a scale from 0 to 10, I believe most people can be trusted: 8. On a scale from 0 to 10, I believe most people try to be fair: 8. On a scale from 0 to 10, I believe most people try to be helpful: 8. I consider myself as belonging to a particular religion. On a scale from 0 to 10, I would rate my religiousness as 5. I am quite interested in politics. On a left (0) to right (10) political scale, I would place myself at 5. I voted in the last general election. I voted for Conservative. On a scale from 0 to 10, my trust in parliament is 7. On a scale from 0 to 10, my trust in politicians is 5. I have not felt discriminated against in the last 12 months.",1.0187729597091677,0.7758576273918152,2.4683315753936768,1.9150738716125488,1439,12440,B
32063,GB,United Kingdom,Male,29.0,1989.0,,UKJ,"3-4 year University/CNAA first Degree (BA, BSc., BEd., BEng. etc)",Paid work,Professional,Living comfortably on present income,No,No,Yes,5.0,Never,2.0,Suburbs or outskirts of big city,Not eligible to vote,"I am a male. I am 29 years old and I was born in 1989. I am single. I am from South East (England). I was not born in this country. I am not a citizen of this country. I belong to an ethnic minority group. My highest educational qualification is 3-4 year University/CNAA first Degree (BA, BSc., BEd., BEng. etc). I finished my full-time education at age 22. In the last week I have mainly been paid work. My occupation is Software developers. I have never been a member of a trade union. I would say that we are living comfortably on present income. I would describe my general health as good. On a scale from 0 (extremely unhappy) to 10 (extremely happy), my happiness is 7. On a scale from 0 to 10, my life satisfaction is 7. I meet socially with friends, relatives or colleagues several times a month. On a scale from 0 to 10, I believe most people can be trusted: 0. On a scale from 0 to 10, I believe most people try to be fair: 4. On a scale from 0 to 10, I believe most people try to be helpful: 4. I do not consider myself as belonging to any particular religion. On a scale from 0 to 10, I would rate my religiousness as 0. I am quite interested in politics. On a left (0) to right (10) political scale, I would place myself at 5. I was not eligible to vote in the last general election. On a scale from 0 to 10, my trust in parliament is 6. On a scale from 0 to 10, my trust in politicians is 4. I have not felt discriminated against in the last 12 months.",1.0187729597091677,1.339930295944214,2.4683315753936768,3.3073923587799072,1523,12430,B
